name,name character_deaths,name character_predictions,allegiances,nobility,gender,has_Allegiance,is_alive,has_dead_rels,culture,mother,father,spouse,house,heir,data_poor
Mors Martell,,Mors Martell,Unknown,1,1,0,1,0,Dornish,Unknown,Unknown,Nymeria,House Martell,Unknown,1
Myria Jordayne,Myria Jordayne,Myria Jordayne,House Martell,0,0,1,1,0,Dornish,Unknown,Unknown,Unknown,House Jordayne,Unknown,0
Nymella Toland,Nymella Toland,Nymella Toland,House Martell,1,0,1,1,0,Dornish,Unknown,Unknown,Unknown,House Toland,Unknown,0
Nymeria Sand,Nymeria Sand,Nymeria Sand,House Martell,1,0,1,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Obara Sand,Obara Sand,Obara Sand,House Martell,1,0,1,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Obella Sand,,Obella Sand,Unknown,1,0,0,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Oberyn Martell,Oberyn Martell,Oberyn Martell,House Martell,1,1,1,0,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Perros Blackmont,Perros Blackmont,Perros Blackmont,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Blackmont,Unknown,0
Quentyn Martell,Quentyn Martell,Quentyn Martell,House Martell,1,1,1,0,0,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Ryon Allyrion,Ryon Allyrion,Ryon Allyrion,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Ynys Yronwood,House Allyrion,Unknown,0
Sarella Sand,Sarella Sand,Sarella Sand,House Martell,0,0,1,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Sylva Santagar,Sylva Santagar,Sylva Santagar,House Martell,1,0,1,1,0,Dornish,Unknown,Unknown,Eldon Estermont,House Santagar,Unknown,0
Tanselle,,Tanselle,Unknown,0,0,0,1,0,Dornish,Unknown,Unknown,Unknown,Unknown,Unknown,1
Timeon,Timeon,Timeon,None,0,1,0,0,0,Dornish,Unknown,Unknown,Unknown,Brave Companions,Unknown,0
Tremond Gargalen,Tremond Gargalen,Tremond Gargalen,House Martell,1,1,1,1,0,Dornish,Unknown,Unknown,Unknown,House Gargalen,Unknown,0
Trystane Martell,,Trystane Martell,Unknown,1,1,0,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,1
Tyene Sand,Tyene Sand,Tyene Sand,House Martell,1,0,1,1,1,Dornish,Unknown,Unknown,Unknown,House Martell,Unknown,0
Ulrick Dayne,,Ulrick Dayne,Unknown,1,1,0,1,0,Dornish,Unknown,Unknown,Unknown,House Dayne,Unknown,1
Willam Wells,Willam Wells,Willam Wells,House Martell,0,1,1,0,0,Dornish,Unknown,Unknown,Unknown,House Wells,Unknown,0
Aggo,Aggo,Aggo,House Targaryen,0,1,1,1,0,Dothraki,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Bharbo,,Bharbo,Unknown,0,1,0,1,1,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,1
Cohollo,Cohollo,Cohollo,None,0,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Khal,Unknown,0
Drogo,Drogo,Drogo,House Targaryen,1,1,1,0,1,Dothraki,Unknown,Unknown,Daenerys Targaryen,Unknown,Unknown,0
Fogo,Fogo,Fogo,None,1,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Haggo,Haggo,Haggo,None,0,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Iggo,Iggo,Iggo,None,0,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Brave Companions,Unknown,0
Irri,Irri,Irri,House Targaryen,0,0,1,1,0,Dothraki,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Jhaqo,Jhaqo,Jhaqo,None,1,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Jhiqui,Jhiqui,Jhiqui,House Targaryen,0,0,1,1,0,Dothraki,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Jhogo,Jhogo,Jhogo,House Targaryen,0,1,1,1,0,Dothraki,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Jommo,,Jommo,Unknown,0,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,1
Mago,Mago,Mago,None,0,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Moro,Moro,Moro,None,1,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Ogo,Ogo,Ogo,None,1,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Pono,Pono,Pono,None,1,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Qotho,Qotho,Qotho,None,0,1,0,0,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Quaro,Quaro,Quaro,House Targaryen,0,1,1,0,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Rakharo,Rakharo,Rakharo,House Targaryen,0,1,1,1,0,Dothraki,Unknown,Unknown,Unknown,House Targaryen,Unknown,0
Rhogoro,Rhogoro,Rhogoro,None,1,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,0
Temmo,,Temmo,Unknown,0,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,1
Zekko,,Zekko,Unknown,0,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Unknown,Unknown,1
Zollo,Zollo,Zollo,None,0,1,0,1,0,Dothraki,Unknown,Unknown,Unknown,Brave Companions,Unknown,0
Bran the Builder,,Bran the Builder,Unknown,1,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,House Stark,Unknown,1
Durran,,Durran,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Durran the Devout,1
Griffin King,,Griffin King,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Alfyn,,Alfyn,Unknown,0,1,0,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Arson,Arson,Arson,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Bael the Bard,,Bael the Bard,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Big Boil,Big Boil,Big Boil,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Borroq,Borroq,Borroq,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Briar,,Briar,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Brogg,,Brogg,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Bump,,Bump,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Craster,Craster,Craster,None,0,1,0,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Dalla,Dalla,Dalla,Wildling,1,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Dan,,Dan,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Del,Del,Del,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Dormund,,Dormund,Unknown,0,1,0,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dryn,,Dryn,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Dyah,,Dyah,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Craster,Unknown,Unknown,1
Errok,,Errok,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Ferny,,Ferny,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Craster,Unknown,Unknown,1
Frenya,Frenya,Frenya,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Gavin,,Gavin,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Gendel,,Gendel,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Gilly,Gilly,Gilly,Wildling,0,0,1,1,1,Free Folk,Unknown,Unknown,Craster,Unknown,Unknown,0
Gorne,,Gorne,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Great Walrus,,Great Walrus,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Grigg,Grigg,Grigg,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Grisella,,Grisella,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Haggon,,Haggon,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Hali,Hali,Hali,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Harle the Handsome,,Harle the Handsome,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Harle the Huntsman,,Harle the Huntsman,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Harma,Harma,Harma,Wildling,1,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Henk,,Henk,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Holly,Holly,Holly,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Howd Wanderer,Howd Wanderer,,Wildling,1,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Wildlings,Unknown,1
Jarl,Jarl,Jarl,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Joramun,,Joramun,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Kyleg,,Kyleg,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Lenn,,Lenn,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Lenyl,,Lenyl,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Lord of Bones,Lord of Bones,,Wildling,1,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Wildlings,Unknown,1
Mag Mar Tun Doh Weg,Mag Mar Tun Doh Weg,Mag Mar Tun Doh Weg,Wildling,1,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Magnar Styr,Magnar Styr,,Wildling,1,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Wildlings,Unknown,1
Mance Rayder,Mance Rayder,Mance Rayder,Wildling,1,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Maris,Maris,Maris,Wildling,0,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Meha,Meha,Meha,Wildling,0,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Monster,Monster,Monster,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Morna White Mask,Morna White Mask,,Wildling,1,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,Wildlings,Unknown,1
Mother Mole,,Mother Mole,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Munda,,Munda,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Longspear Ryk,Unknown,Unknown,1
Myrtle,Myrtle,Myrtle,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Nella,,Nella,Unknown,0,0,0,1,0,Free Folk,Unknown,Unknown,Craster,Unknown,Unknown,1
Orell,Orell,Orell,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Osha,Osha,Osha,House Stark,0,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,House Stark,Unknown,0
Quort,Quort,Quort,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,wildlings,Unknown,0
Ragwyle,Ragwyle,Ragwyle,Wildling,0,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Raymun Redbeard,,Raymun Redbeard,Unknown,0,1,0,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Rowan,Rowan,Rowan,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Ryk,Ryk,Ryk,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Munda,Unknown,Unknown,0
Squirrel,Squirrel,Squirrel,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Stiv,Stiv,Stiv,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Stone Thumbs,Stone Thumbs,Stone Thumbs,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Styr,,Styr,Unknown,0,1,0,0,0,Free Folk,Unknown,Unknown,Unknown,Thenn,Unknown,1
Thistle,Thistle,Thistle,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Toefinger,,Toefinger,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Toregg,,Toregg,Unknown,0,1,0,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,1
Tormund,Tormund Giantsbane,Tormund,Wildling,1,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Torwynd,Torwynd the Tame,Torwynd,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Val,Val,Val,Wildling,0,0,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Varamyr,Varamyr,Varamyr,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Wallen,Wallen,Wallen,Wildling,0,1,1,0,0,Free Folk,Unknown,Unknown,Unknown,Night's Watch,Unknown,0
Weeper,Weeper,,Wildling,1,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Wildlings,Unknown,1
Willow Witch-eye,Willow Witch-eye,Willow Witch-eye,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Wun Weg Wun Dar Wun,Wun Weg Wun Dar Wun,Wun Weg Wun Dar Wun,Wildling,0,1,1,1,0,Free Folk,Unknown,Unknown,Unknown,Unknown,Unknown,0
Ygritte,Ygritte,Ygritte,Wildling,0,0,1,0,0,Free Folk,Unknown,Unknown,Unknown,Mance Rayder,Unknown,0
Azzak,Azzak,Azzak,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,House of Ghazeen,Unknown,0
Bhakaz zo Loraq,Bhakaz zo Loraq,Bhakaz zo Loraq,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,House of Loraq,Unknown,0
Dhazzar,Dhazzar,Dhazzar,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,0
Draqaz,Draqaz,Draqaz,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,0
Ezzara,Ezzara,Ezzara,House Targaryen,0,0,1,1,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,0
Galazza Galare,Galazza Galare,Galazza Galare,None,1,0,0,1,0,Ghiscari,Unknown,Unknown,Unknown,Graces,Unknown,0
Grazdan mo Eraz,Grazdan mo Eraz,Grazdan mo Eraz,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,Wise Masters,Unknown,0
Grazdar zo Galare,Grazdar zo Galare,Grazdar zo Galare,None,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,House of Galare,Unknown,0
Harghaz,Harghaz,Harghaz,None,0,1,0,0,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,0
Hazrak zo Loraq,,Hazrak zo Loraq,Unknown,1,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,House of Loraq,Unknown,1
Hazzea,Hazzea,Hazzea,None,0,0,0,0,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,0
Hizdahr zo Loraq,,Hizdahr zo Loraq,Unknown,0,1,0,1,0,Ghiscari,Unknown,Unknown,Unknown,Unknown,Unknown,1
Kezmya,Kezmya,Kezmya,None,1,0,0,1,0,Ghiscari,Unknown,Unknown,Unknown,House of Pahl,Unknown,0
Khrazz,Khrazz,Khrazz,None,0,1,0,0,0,Ghiscari,Unknown,Unknown,Unknown,House of Loraq,Unknown,0
